Date,Equity,Cash,Return,Peak,Drawdown
2022-06-30,1115.852925310065,833.7574964805488,0.0004649345304148511,1159.5043062757286,-0.03764658805439855
2022-07-01,1117.49016511011,833.7574964805488,0.0014672541182700893,1159.5043062757286,-0.03623457104749012
2022-07-05,1112.5374170748862,833.7574964805488,-0.00443202829864342,1159.5043062757286,-0.04050600670186189
2022-07-06,1116.0025668539529,833.7574964805488,0.0031146366188539165,1159.5043062757286,-0.03751753157476506
2022-07-07,1115.839401774413,833.7574964805488,-0.00014620493212647023,1159.5043062757286,-0.037658251258734045
2022-07-08,1117.0390206661182,833.7574964805488,0.0010750820322327215,1159.5043062757286,-0.03662365493579481
2022-07-11,1116.7242475968164,833.7574964805488,-0.0002817923666749156,1159.5043062757286,-0.03689512703606908
2022-07-12,1114.5280223243287,833.7574964805488,-0.0019666674895024716,1159.5043062757286,-0.0387892340787086
2022-07-13,1109.5478933228571,1003.8858570290232,-0.00446837486516094,1159.5043062757286,-0.04308428410527342
2022-07-14,1109.709209408802,1109.709209408802,0.00014538902458882674,1159.5043062757286,-0.04294515906272567
2022-07-15,1109.709209408802,1109.709209408802,0.0,1159.5043062757286,-0.04294515906272567
2022-07-18,1109.709209408802,1109.709209408802,0.0,1159.5043062757286,-0.04294515906272567
2022-07-19,1109.709209408802,1109.709209408802,0.0,1159.5043062757286,-0.04294515906272567
2022-07-20,1109.709209408802,1109.709209408802,0.0,1159.5043062757286,-0.04294515906272567
2022-07-21,1109.709209408802,1109.709209408802,0.0,1159.5043062757286,-0.04294515906272567
2022-07-22,1109.709209408802,1109.709209408802,0.0,1159.5043062757286,-0.04294515906272567
2022-07-25,1109.709209408802,1109.709209408802,0.0,1159.5043062757286,-0.04294515906272567
2022-07-26,1109.709209408802,1109.709209408802,0.0,1159.5043062757286,-0.04294515906272567
2022-07-27,1109.709209408802,1109.709209408802,0.0,1159.5043062757286,-0.04294515906272567
2022-07-28,1109.709209408802,1109.709209408802,0.0,1159.5043062757286,-0.04294515906272567
2022-07-29,1109.709209408802,1109.709209408802,0.0,1159.5043062757286,-0.04294515906272567
2022-08-01,1109.709209408802,1109.709209408802,0.0,1159.5043062757286,-0.04294515906272567
2022-08-02,1108.7482065011736,943.2528279974817,-0.0008659952530630788,1159.5043062757286,-0.043773964011898404
2022-08-03,1110.2644555332095,943.2528279974817,0.0013675323424608976,1159.5043062757286,-0.04246629398098153
2022-08-04,1107.6377142523586,943.2528279974817,-0.0023658699220352464,1159.5043062757286,-0.044731694175386874
2022-08-05,1106.9970456472731,943.2528279974817,-0.000578409886952902,1159.5043062757286,-0.04528423080816857
2022-08-08,1106.2068877010008,943.2528279974817,-0.000713785054241356,1159.5043062757286,-0.045965692655266184
2022-08-09,1106.0787539799837,943.2528279974817,-0.00011583160658434899,1159.5043062757286,-0.046076199981822524
2022-08-10,1106.505866383374,943.2528279974817,0.000386150083665715,1159.5043062757286,-0.04570784222663473
2022-08-11,1103.0782893461662,1103.0782893461662,-0.003097658260421965,1159.5043062757286,-0.04866391321201728
2022-08-12,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-08-15,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-08-16,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-08-17,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
2022-08-18,1103.0782893461662,1103.0782893461662,0.0,1159.5043062757286,-0.04866391321201728
